City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Bambous Virieux,MU,2021-04-06 21:19:40,-20.3428,57.7575,77.0,94,40,6.91
164,Saldanha,ZA,2021-04-06 21:16:30,-33.0117,17.9442,64.4,52,4,4.61
165,Esperance,AU,2021-04-06 21:19:41,-33.8667,121.9,64.4,100,90,3.44
166,Maragogi,BR,2021-04-06 21:19:41,-9.0122,-35.2225,78.44,78,99,7.81
167,Marion,US,2021-04-06 21:19:41,39.7684,-86.1555,77.0,43,40,17.27
168,East London,ZA,2021-04-06 21:17:51,-33.0153,27.9116,66.34,81,69,16.55
169,Innisfail,AU,2021-04-06 21:19:42,-17.5333,146.0333,66.0,98,100,3.78
170,Hasaki,JP,2021-04-06 21:17:34,35.7333,140.8333,43.0,93,40,4.61
171,Iguguno,TZ,2021-04-06 21:19:42,-4.5697,34.6275,62.58,92,76,6.06
172,Ostrovnoy,RU,2021-04-06 21:19:43,68.0531,39.5131,31.19,86,100,17.16
173,Dunedin,NZ,2021-04-06 21:17:24,-45.8742,170.5036,57.0,68,58,7.0
174,Tandil,AR,2021-04-06 21:19:43,-37.3217,-59.1332,77.0,65,0,1.01
175,Novikovo,RU,2021-04-06 21:16:15,51.1537,37.8879,42.24,74,49,7.7
176,Maputo,MZ,2021-04-06 21:18:29,-25.9653,32.5892,77.0,61,20,4.61
177,Loughrea,IE,2021-04-06 21:19:44,53.1969,-8.5669,41.0,65,20,8.05
178,Sibolga,ID,2021-04-06 21:17:09,1.7427,98.7792,75.52,88,54,3.27
179,Mahebourg,MU,2021-04-06 21:19:44,-20.4081,57.7,77.0,94,40,6.91
180,Husavik,IS,2021-04-06 21:18:27,66.0449,-17.3389,15.8,62,0,3.44
181,Pisco,PE,2021-04-06 21:19:45,-13.7,-76.2167,77.0,65,0,20.71
182,Riwaka,NZ,2021-04-06 21:19:45,-41.0833,173.0,63.0,82,0,2.8
183,Ginda,IN,2021-04-06 21:19:46,30.6945,78.4932,54.59,58,100,8.86
184,Hami,CN,2021-04-06 21:19:08,42.8,93.45,56.34,25,41,4.18
185,Nakhon Nayok,TH,2021-04-06 21:19:46,14.1667,101.1,80.01,99,95,4.68
186,Lakatoro,VU,2021-04-06 21:19:47,-16.0999,167.4164,81.54,68,74,10.76
187,Charlottetown,CA,2021-04-06 21:19:35,46.2352,-63.1267,37.99,100,90,10.36
188,Podporozhye,RU,2021-04-06 21:19:47,60.9112,34.1706,30.87,80,13,10.31
189,Lujiang,CN,2021-04-06 21:19:48,31.2581,117.2817,57.99,76,0,4.47
190,Nahariyya,IL,2021-04-06 21:19:48,33.0059,35.0941,70.32,53,100,2.46
191,Cap Malheureux,MU,2021-04-06 21:19:48,-19.9842,57.6142,77.0,94,40,6.91
192,Aksu,CN,2021-04-06 21:19:49,41.1231,80.2644,52.56,40,98,8.19
193,Port Lincoln,AU,2021-04-06 21:19:49,-34.7333,135.8667,62.76,82,0,7.87
194,Chornukhy,UA,2021-04-06 21:19:50,50.2673,32.942,43.84,69,92,10.11
195,Khatanga,RU,2021-04-06 21:19:50,71.9667,102.5,-10.07,100,99,7.0
196,Narsaq,GL,2021-04-06 21:19:50,60.9167,-46.05,35.6,87,75,2.3
197,Ryotsu,JP,2021-04-06 21:19:51,38.0833,138.4333,47.08,70,95,4.97
198,Mnogovershinnyy,RU,2021-04-06 21:19:51,53.9353,139.9242,20.62,96,100,5.84
199,Clyde River,CA,2021-04-06 21:19:52,70.4692,-68.5914,12.2,67,20,13.8
200,Pangnirtung,CA,2021-04-06 21:19:28,66.1451,-65.7125,10.4,72,20,5.75
201,Hamilton,US,2021-04-06 21:19:52,39.1834,-84.5333,77.0,41,40,11.5
202,Victoria,HK,2021-04-06 21:19:44,22.2855,114.1577,73.0,81,87,1.99
203,Tuatapere,NZ,2021-04-06 21:17:04,-46.1333,167.6833,54.0,84,98,4.0
204,Uyuni,BO,2021-04-06 21:19:53,-20.4597,-66.825,58.12,17,25,10.36
205,Quatre Cocos,MU,2021-04-06 21:19:53,-20.2078,57.7625,77.0,94,40,6.91
206,Te Anau,NZ,2021-04-06 21:16:27,-45.4167,167.7167,49.1,85,27,0.78
207,Tianpeng,CN,2021-04-06 21:16:18,30.9866,103.9393,57.0,1,100,4.05
208,Lompoc,US,2021-04-06 21:19:54,34.6391,-120.4579,61.0,67,92,19.57
209,Xai-Xai,MZ,2021-04-06 21:19:54,-25.0519,33.6442,69.42,75,0,4.99
210,Lagoa,PT,2021-04-06 21:19:55,39.05,-27.9833,60.04,83,100,9.48
211,Riyadh,SA,2021-04-06 21:16:37,24.6877,46.7219,75.2,15,0,3.44
212,Yulara,AU,2021-04-06 21:19:55,-25.2406,130.9889,62.6,55,1,5.75
213,Ancud,CL,2021-04-06 21:19:55,-41.8697,-73.8203,61.0,82,75,10.36
214,Sakaiminato,JP,2021-04-06 21:19:56,35.55,133.2333,41.0,93,20,5.75
215,Port Hardy,CA,2021-04-06 21:15:04,50.6996,-127.4199,48.2,71,75,10.36
216,Kosa,RU,2021-04-06 21:19:56,59.9445,54.9977,32.92,87,100,3.71
217,Kazachinskoye,RU,2021-04-06 21:19:57,57.6953,93.2761,36.5,82,100,8.41
218,Bahia Honda,CU,2021-04-06 21:19:57,22.9036,-83.1592,78.49,58,91,14.16
219,Korla,CN,2021-04-06 21:19:57,41.7597,86.1469,54.68,27,100,9.1
220,Springfield,US,2021-04-06 21:17:25,37.2153,-93.2982,77.0,44,40,19.57
221,Asyut,EG,2021-04-06 21:19:58,27.181,31.1837,73.4,31,0,9.22
222,Sao Luiz Gonzaga,BR,2021-04-06 21:19:58,-28.4083,-54.9608,70.77,74,5,4.59
223,Tuburan,PH,2021-04-06 21:19:59,6.6439,122.2736,77.0,88,40,0.63
224,Touros,BR,2021-04-06 21:17:34,-5.1989,-35.4608,80.6,74,0,9.22
225,Cayenne,GF,2021-04-06 21:20:00,4.9333,-52.3333,81.0,94,75,3.44
226,Petukhovo,RU,2021-04-06 21:20:00,55.0692,67.9019,24.1,95,12,6.73
227,Broken Hill,AU,2021-04-06 21:20:00,-31.95,141.4333,53.6,43,0,4.61
228,Gilbues,BR,2021-04-06 21:20:01,-9.8317,-45.3439,81.88,56,100,1.5
229,Persianovskiy,RU,2021-04-06 21:20:01,47.5137,40.1075,44.6,81,40,13.42
230,Chifeng,CN,2021-04-06 21:20:01,42.2683,118.9636,37.56,26,18,5.39
231,Ciudad Bolivar,VE,2021-04-06 21:15:04,8.1222,-63.5497,87.96,51,100,9.71
232,Vardo,NO,2021-04-06 21:17:03,70.3705,31.1107,33.8,69,75,21.85
233,Sisimiut,GL,2021-04-06 21:20:03,66.9395,-53.6735,21.9,77,54,1.83
234,Constitucion,CL,2021-04-06 21:20:04,-35.3333,-72.4167,62.74,70,96,6.33
235,Alekseyevskoye,RU,2021-04-06 21:20:04,55.3071,50.1135,37.4,65,75,8.95
236,That Phanom,TH,2021-04-06 21:20:05,16.9364,104.7104,73.83,72,9,6.13
237,Alvaraes,BR,2021-04-06 21:20:05,-3.2208,-64.8042,86.0,74,20,3.44
238,Mar Del Plata,AR,2021-04-06 21:20:06,-38.0023,-57.5575,71.01,94,75,11.5
239,Sao Filipe,CV,2021-04-06 21:16:40,14.8961,-24.4956,76.66,61,0,7.4
240,Lamu,KE,2021-04-06 21:20:06,-2.2717,40.902,82.4,83,20,8.05
241,Sao Jose Da Coroa Grande,BR,2021-04-06 21:20:07,-8.8978,-35.1478,78.58,79,98,7.94
242,Pevek,RU,2021-04-06 21:20:07,69.7008,170.3133,-17.97,99,100,6.44
243,Olinda,BR,2021-04-06 21:20:08,-8.0089,-34.8553,78.8,69,40,11.5
244,Wanning,CN,2021-04-06 21:20:08,18.8003,110.3967,75.0,87,41,7.78
245,Mus,TR,2021-04-06 21:20:08,39.0,41.75,45.09,71,100,2.44
246,Sovetskiy,RU,2021-04-06 21:20:09,61.3614,63.5842,27.52,96,4,2.77
247,Laguna De Perlas,NI,2021-04-06 21:20:09,12.3429,-83.6712,84.2,74,75,4.61
248,Semey,KZ,2021-04-06 21:20:10,50.4111,80.2275,40.23,92,100,4.52
249,Chokurdakh,RU,2021-04-06 21:17:26,70.6333,147.9167,-21.17,92,98,1.79
250,Carballo,ES,2021-04-06 21:20:10,43.213,-8.691,51.01,77,71,8.01
251,San Cristobal,VE,2021-04-06 21:20:11,7.7669,-72.225,87.8,48,40,11.5
252,Tatawin,TN,2021-04-06 21:20:11,32.9297,10.4518,61.2,53,0,4.79
253,Ambon,ID,2021-04-06 21:20:11,-3.6954,128.1814,73.4,94,20,9.22
254,Alenquer,BR,2021-04-06 21:20:12,-1.9417,-54.7383,84.2,79,75,4.61
255,Cabo San Lucas,MX,2021-04-06 21:16:24,22.8909,-109.9124,80.6,60,1,4.61
256,Saskylakh,RU,2021-04-06 21:20:12,71.9167,114.0833,7.74,95,100,7.34
257,Fort Nelson,CA,2021-04-06 21:15:22,58.8053,-122.7002,28.4,74,90,9.22
258,Richards Bay,ZA,2021-04-06 21:20:13,-28.783,32.0377,69.28,93,71,5.95
259,Fukue,JP,2021-04-06 21:20:13,32.6881,128.8419,60.96,53,27,18.43
260,Maceio,BR,2021-04-06 21:17:22,-9.6658,-35.7353,77.0,83,40,6.91
261,Orlik,RU,2021-04-06 21:20:13,52.5178,99.825,14.49,89,42,1.81
262,Le Vauclin,MQ,2021-04-06 21:20:14,14.5452,-60.8388,82.4,69,20,12.66
263,Dubovskoye,RU,2021-04-06 21:20:14,47.4092,42.7575,41.77,72,7,5.97
264,Bandarbeyla,SO,2021-04-06 21:20:15,9.4942,50.8122,78.49,61,99,9.86
265,Prieska,ZA,2021-04-06 21:20:15,-29.6641,22.7474,74.71,24,3,5.35
266,Tabou,CI,2021-04-06 21:20:16,4.423,-7.3528,80.26,86,52,4.05
267,Sharjah,AE,2021-04-06 21:17:30,25.3573,55.4033,75.2,77,0,3.44
268,Hualmay,PE,2021-04-06 21:20:16,-11.0964,-77.6139,73.9,74,94,10.18
269,Eureka,US,2021-04-06 21:20:16,40.8021,-124.1637,60.01,72,0,7.0
270,Ribeira Grande,PT,2021-04-06 21:20:17,38.5167,-28.7,62.6,77,20,4.61
271,Zunheboto,IN,2021-04-06 21:20:17,25.9667,94.5167,57.33,37,34,3.22
272,Faanui,PF,2021-04-06 21:20:17,-16.4833,-151.75,80.65,62,64,12.08
273,Auki,SB,2021-04-06 21:20:18,-8.7676,160.7034,77.22,88,100,7.05
274,Panaba,MX,2021-04-06 21:20:18,21.2833,-88.2667,85.84,45,100,16.87
275,Alice Springs,AU,2021-04-06 21:17:37,-23.7,133.8833,59.0,77,7,5.75
276,Bonga,ET,2021-04-06 21:20:19,7.2833,36.2333,61.56,92,82,1.36
277,Cherskiy,RU,2021-04-06 21:20:19,68.75,161.3,-15.59,95,26,1.43
278,Tiksi,RU,2021-04-06 21:16:23,71.6872,128.8694,-13.2,99,44,6.24
279,Kismayo,SO,2021-04-06 21:20:19,-0.3582,42.5454,82.29,78,3,13.15
280,Requena,ES,2021-04-06 21:20:20,39.4883,-1.1004,57.99,84,48,4.99
281,Port Macquarie,AU,2021-04-06 21:16:47,-31.4333,152.9167,66.2,100,63,5.75
282,Teya,RU,2021-04-06 21:20:20,60.3778,92.6267,33.51,86,100,9.1
283,Lugovoy,KZ,2021-04-06 21:20:21,42.9472,72.7644,42.3,78,0,1.79
284,Tari,NG,2021-04-06 21:20:21,12.4086,4.4914,87.75,12,1,2.59
285,Tucuman,AR,2021-04-06 21:20:12,-26.8241,-65.2226,69.8,94,90,2.3
286,Glace Bay,CA,2021-04-06 21:20:21,46.1969,-59.957,37.99,100,90,10.36
287,Ulaangom,MN,2021-04-06 21:20:22,49.9811,92.0667,35.4,38,5,2.66
288,Vermillion,US,2021-04-06 21:20:22,42.7794,-96.9292,75.2,52,90,18.41
289,Port Keats,AU,2021-04-06 21:16:36,-14.25,129.55,76.15,84,61,2.95
290,Baruun-Urt,MN,2021-04-06 21:20:23,46.6806,113.2792,33.03,37,94,5.7
